tissue	group	total.mRNA.mol	well	sex	age	diameter	cell_id	level1class	level2class
sscortex	1	21580	11	1	21	0	1772071015_C02	interneurons	Int10
sscortex	1	21748	95	-1	20	9.56	1772071017_G12	interneurons	Int10
sscortex	1	31642	33	-1	20	11.1	1772071017_A05	interneurons	Int6
sscortex	1	32916	42	1	21	11.7	1772071014_B06	interneurons	Int10
sscortex	1	21531	48	1	25	11	1772067065_H06	interneurons	Int9
sscortex	1	24799	13	-1	20	11.9	1772071017_E02	interneurons	Int9
sscortex	1	31406	50	1	25	11.3	1772067065_B07	interneurons	Int10
ca1hippocampus	1	20389	66	-1	23	10.9	1772067060_B09	interneurons	Int9
sscortex	1	23022	29	1	21	12.9	1772071014_E04	interneurons	Int10
sscortex	1	24184	28	1	21	11.2	1772071015_D04	interneurons	Int10
sscortex	1	19423	83	1	21	10.6	1772071015_C11	interneurons	Int10
sscortex	1	30641	28	-1	20	12.4	1772071017_D04	interneurons	Int2
sscortex	1	33675	44	-1	20	12.1	1772071017_D06	interneurons	Int4
ca1hippocampus	1	22515	52	1	31	0	1772067082_D07	interneurons	Int2
sscortex	1	36052	70	-1	20	13.2	1772071017_F09	interneurons	Int1
sscortex	1	41438	65	-1	20	9.74	1772071017_A09	interneurons	Int1
ca1hippocampus	1	28534	35	1	24	12.8	1772067094_C05	interneurons	Int2
ca1hippocampus	1	34216	42	-1	23	16.9	1772067059_B06	interneurons	Int2
ca1hippocampus	1	29657	37	-1	26	0	1772067096_E05	interneurons	Int3
ca1hippocampus	1	16603	35	-1	24	13.4	1772066089_C05	interneurons	Int13
ca1hippocampus	1	23827	30	1	24	14.4	1772067094_F04	interneurons	Int13
ca1hippocampus	1	16182	1	-1	24	0	1772071045_A01	interneurons	Int13
sscortex	1	22036	59	1	21	6.6	1772071015_C08	interneurons	Int16
ca1hippocampus	1	17666	44	-1	24	12.2	1772071045_D06	interneurons	Int16
sscortex	1	42452	17	-1	20	0	1772071017_A03	interneurons	Int14
sscortex	1	37863	54	-1	20	13.8	1772071017_F07	interneurons	Int16
sscortex	1	33716	45	-1	20	9.2	1772071017_E06	interneurons	Int14
sscortex	1	18419	75	1	25	10	1772067066_C10	interneurons	Int14
sscortex	1	24456	34	-1	20	12.4	1772071017_B05	interneurons	Int14
sscortex	1	36266	45	1	21	13.2	1772071014_E06	interneurons	Int14
ca1hippocampus	1	43675	84	-1	27	9.28	1772067058_D11	interneurons	Int14
sscortex	1	19035	26	1	21	11.5	1772071014_B04	interneurons	Int14
sscortex	1	25722	66	1	25	0	1772067066_B09	interneurons	Int14
sscortex	1	14859	77	-1	20	10.8	1772071017_E10	interneurons	Int14
sscortex	1	28138	58	1	21	6.37	1772071015_B08	interneurons	Int14
sscortex	1	22184	83	1	21	10.7	1772071014_C11	interneurons	Int14
sscortex	1	17201	77	1	25	13.2	1772067066_E10	interneurons	Int14
sscortex	1	21335	86	1	25	6.05	1772067065_F11	interneurons	Int14
sscortex	1	26045	88	1	21	12.7	1772071014_H11	interneurons	Int16
sscortex	1	20723	82	-1	20	11.8	1772071017_B11	interneurons	Int14
sscortex	1	33656	49	1	21	0	1772071014_A07	interneurons	Int11
sscortex	1	18023	18	-1	20	12.2	1772071017_B03	interneurons	Int11
sscortex	1	21628	26	1	21	11.7	1772071015_B04	interneurons	Int11
sscortex	1	16593	20	1	21	0	1772071014_D03	interneurons	Int11
sscortex	1	22101	44	1	25	10.9	1772067065_D06	interneurons	Int11
sscortex	1	13467	64	1	25	12.1	1772067066_H08	interneurons	Int6
ca1hippocampus	1	13451	87	-1	26	11.8	1772067096_G11	interneurons	Int5
