id1	id2	cell_type	coefficient	statistic	z_score
GSE85241	E-MTAB-5061	alpha	pearson	0.0914824872264831	40.5647547473013
GSE81608	GSE84133_human	alpha	pearson	0.160462310702305	39.4644063085658
GSE81608	GSE84133_human	alpha	bicor	0.181411913485095	30.6746533379097
GSE85241	E-MTAB-5061	beta	bicor	0.0510631422528966	17.3936352781625
GSE85241	GSE81547	beta	bicor	0.0887369951483528	28.7495912883225
GSE85241	GSE81608	beta	bicor	0.0512235095123081	41.4837720301708
GSE85241	GSE84133_human	beta	bicor	0.379764602103256	41.0538004239264
E-MTAB-5061	GSE81547	beta	bicor	0.033691336566243	9.65966886577541
E-MTAB-5061	GSE81608	beta	bicor	0.0552329361215556	31.1820905372227
E-MTAB-5061	GSE84133_human	beta	bicor	0.0649061530504758	8.74058496865608
GSE81547	GSE81608	beta	bicor	0.0376359726046949	19.3944061287838
GSE81547	GSE84133_human	beta	bicor	0.19454550842161	26.9416402949358
GSE85241	E-MTAB-5061	beta	pearson	0.0727683809929967	22.8186046393736
GSE81608	GSE84133_human	beta	bicor	0.100420312203543	21.488947663158
GSE85241	E-MTAB-5061	delta	bicor	0.0985283553593807	26.9245590587247
GSE85241	GSE81547	delta	bicor	0.0823852472899744	23.6521678492802
GSE85241	GSE81608	delta	bicor	0.0533804236747381	28.9982188489923
GSE85241	GSE84133_human	delta	bicor	0.265121277923069	26.2631641588993
E-MTAB-5061	GSE81547	delta	bicor	0.036588937556188	16.9635480515202
E-MTAB-5061	GSE81608	delta	bicor	0.0291028437764395	23.7391889776618
E-MTAB-5061	GSE84133_human	delta	bicor	0.0624294708307588	13.7441074433596
GSE81547	GSE81608	delta	bicor	0.0123765448853968	8.88415300626405
GSE81547	GSE84133_human	delta	bicor	0.0786552620528914	15.556080254942
GSE85241	GSE81547	beta	pearson	0.175052447249519	23.197223116232
GSE81608	GSE84133_human	delta	bicor	0.0386232882670885	10.8787996639956
GSE85241	E-MTAB-5061	alpha	binomial	0.366897469191162	49.5880333862201
GSE85241	GSE81547	alpha	binomial	0.182642118762766	26.3343481980251
GSE85241	GSE81608	alpha	binomial	0.263480357108098	48.8653448585374
GSE85241	GSE84133_human	alpha	binomial	0.172432689773935	20.9069092157937
E-MTAB-5061	GSE81547	alpha	binomial	0.23497053348835	37.6461135506716
E-MTAB-5061	GSE81608	alpha	binomial	0.299809619636694	49.9121607286916
E-MTAB-5061	GSE84133_human	alpha	binomial	0.149259413766081	17.7837891687584
GSE81547	GSE81608	alpha	binomial	0.208645207461327	41.9625251063075
GSE81547	GSE84133_human	alpha	binomial	0.271068828406146	40.0034513805626
GSE85241	GSE81608	beta	pearson	0.0241091125588427	24.7828178785754
GSE81608	GSE84133_human	alpha	binomial	0.199953015241513	27.0835167867729
GSE85241	E-MTAB-5061	beta	binomial	0.262081560553924	43.5539715460447
GSE85241	GSE81547	beta	binomial	0.13439836877907	22.7480783489507
GSE85241	GSE81608	beta	binomial	0.157228329714813	39.3875958886982
GSE85241	GSE84133_human	beta	binomial	0.176619008095021	22.757215412389
E-MTAB-5061	GSE81547	beta	binomial	0.144486524946983	19.2161559162477
E-MTAB-5061	GSE81608	beta	binomial	0.19965743918811	42.2030378952917
E-MTAB-5061	GSE84133_human	beta	binomial	0.221746336161832	21.5014392389767
GSE81547	GSE81608	beta	binomial	0.114491212023262	26.4859994484723
GSE81547	GSE84133_human	beta	binomial	0.153884484289972	20.9948815885184
GSE85241	GSE84133_human	beta	pearson	0.373408824112774	30.1790743172929
GSE81608	GSE84133_human	beta	binomial	0.167279647344568	25.291883314055
GSE85241	E-MTAB-5061	delta	binomial	0.131658462343921	32.8613935026128
GSE85241	GSE81547	delta	binomial	0.103277374927214	21.2457211654457
GSE85241	GSE81608	delta	binomial	0.0799871727320606	29.1609471008755
GSE85241	GSE84133_human	delta	binomial	0.0948281132871412	18.984554661119
