Dataset	PMID
E-MTAB-2805	25599176
E-MTAB-5061_gamma	27667667
GSE108097_Brain_4	29474909
GSE51254	24141493
GSE52529	24658644
GSE52583	24739965
GSE59129	25053437
GSE59739	25420068
GSE60297	25224068
GSE60631_l2_S1PyrDL	25700174
GSE60749_NPCs	25471879
GSE60768_NSCs	26040288
GSE62270	26287467
GSE63472_c29	26000488
GSE63818	26046443
GSE64960	25683803
GSE65525	26000487
GSE67835_astrocytes	26060301
GSE67980	26383955
GSE69761	26130332
GSE70580	26878113
GSE70844	26689544
GSE71315	27081004
GSE71485	26299571
GSE71585_l2_Vip-Chat	26727548
GSE71858	26524239
GSE71982	26469390
GSE73121	27139883
GSE74596	27089380
GSE74923_CD8	26732280
GSE75330_OPC	27284195
GSE76005	26780092
GSE77847	27016502
GSE81076	27345837
GSE81547_acinar	28965763
GSE81608_beta	27667665
GSE84133_human_ductal	27667365
GSE85241_beta	27693023
GSE87544_GABA15	28355573
GSE99058	29443965
GSM1676569	26365489
Oligodendrocyte_precursor_cells	30096314
Zheng_naive_t	28091601
